"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 12 17:17:35 WAT 2023","Sat Aug 12 17:17:36 WAT 2023","1138","Contact management","Folders","","","","Get lists in a folder",""
"passed","Sat Aug 12 17:17:49 WAT 2023","Sat Aug 12 17:17:50 WAT 2023","551","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Sat Aug 12 17:17:43 WAT 2023","Sat Aug 12 17:17:44 WAT 2023","750","Contact management","Contacts","","","","Get a contact's details",""
"passed","Sat Aug 12 17:17:20 WAT 2023","Sat Aug 12 17:17:21 WAT 2023","801","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Sat Aug 12 17:17:51 WAT 2023","Sat Aug 12 17:17:52 WAT 2023","382","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"passed","Sat Aug 12 17:17:00 WAT 2023","Sat Aug 12 17:17:01 WAT 2023","687","Sales CRM","Companies","","","","Get company attributes",""
"passed","Sat Aug 12 17:17:52 WAT 2023","Sat Aug 12 17:17:53 WAT 2023","300","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Sat Aug 12 17:17:41 WAT 2023","Sat Aug 12 17:17:41 WAT 2023","503","Contact management","Lists","","","","Delete a list",""
"passed","Sat Aug 12 17:17:26 WAT 2023","Sat Aug 12 17:17:27 WAT 2023","586","Conversations","Messages","","","","Get a message",""
"passed","Sat Aug 12 17:17:27 WAT 2023","Sat Aug 12 17:17:28 WAT 2023","669","Conversations","Messages","","","","Update a message sent by an agent",""
"passed","Sat Aug 12 17:17:24 WAT 2023","Sat Aug 12 17:17:25 WAT 2023","574","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Sat Aug 12 17:17:21 WAT 2023","Sat Aug 12 17:17:22 WAT 2023","997","Marketing","Email Campaigns","","","","Get a shared template url",""
"passed","Sat Aug 12 17:17:19 WAT 2023","Sat Aug 12 17:17:20 WAT 2023","1020","Sales CRM","Files","","","","Get file details",""
"passed","Sat Aug 12 17:17:29 WAT 2023","Sat Aug 12 17:17:29 WAT 2023","381","Conversations","Pushed messages","","","","Send an automated message to a visitor",""
"passed","Sat Aug 12 17:17:56 WAT 2023","Sat Aug 12 17:17:57 WAT 2023","536","Account","Senders","","","","Update a sender",""
"passed","Sat Aug 12 17:17:54 WAT 2023","Sat Aug 12 17:17:55 WAT 2023","842","Account","Senders","","","","Create a new sender",""
"passed","Sat Aug 12 17:17:54 WAT 2023","Sat Aug 12 17:17:54 WAT 2023","446","Account","Account data","","","","Get your account information, plan and credits details",""
"passed","Sat Aug 12 17:17:53 WAT 2023","Sat Aug 12 17:17:54 WAT 2023","370","Account","Process","","","","Return the informations for a process",""
"passed","Sat Aug 12 17:17:53 WAT 2023","Sat Aug 12 17:17:53 WAT 2023","479","Account","Process","","","","Return all the processes for your account",""
"passed","Sat Aug 12 17:17:02 WAT 2023","Sat Aug 12 17:17:03 WAT 2023","1539","Sales CRM","Companies","","","","Delete a company",""
"passed","Sat Aug 12 17:17:39 WAT 2023","Sat Aug 12 17:17:39 WAT 2023","435","Contact management","Lists","","","","Get all the lists",""
"passed","Sat Aug 12 17:17:30 WAT 2023","Sat Aug 12 17:17:31 WAT 2023","694","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Sat Aug 12 17:17:29 WAT 2023","Sat Aug 12 17:17:29 WAT 2023","380","Conversations","Pushed messages","","","","Get an automated message",""
"passed","Sat Aug 12 17:17:36 WAT 2023","Sat Aug 12 17:17:38 WAT 2023","1931","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"passed","Sat Aug 12 17:17:50 WAT 2023","Sat Aug 12 17:17:50 WAT 2023","431","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Sat Aug 12 17:17:45 WAT 2023","Sat Aug 12 17:17:46 WAT 2023","337","Transactional","Email API","","","","Send a transactional email",""
"passed","Sat Aug 12 17:17:47 WAT 2023","Sat Aug 12 17:17:48 WAT 2023","391","Transactional","Templates","","","","Returns the template information",""
"passed","Sat Aug 12 17:17:01 WAT 2023","Sat Aug 12 17:17:02 WAT 2023","607","Sales CRM","Companies","","","","Get a company",""
"passed","Sat Aug 12 17:17:46 WAT 2023","Sat Aug 12 17:17:47 WAT 2023","591","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Sat Aug 12 17:17:29 WAT 2023","Sat Aug 12 17:17:30 WAT 2023","594","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Sat Aug 12 17:17:07 WAT 2023","Sat Aug 12 17:17:08 WAT 2023","437","Sales CRM","Deals","","","","Delete a deal",""
"passed","Sat Aug 12 17:17:34 WAT 2023","Sat Aug 12 17:17:35 WAT 2023","1019","Contact management","Folders","","","","Update a folder",""
"passed","Sat Aug 12 17:17:28 WAT 2023","Sat Aug 12 17:17:28 WAT 2023","456","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Sat Aug 12 17:17:51 WAT 2023","Sat Aug 12 17:17:51 WAT 2023","440","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"passed","Sat Aug 12 17:17:13 WAT 2023","Sat Aug 12 17:17:14 WAT 2023","1043","Sales CRM","Notes","","","","Get a note",""
"passed","Sat Aug 12 17:17:38 WAT 2023","Sat Aug 12 17:17:39 WAT 2023","438","Contact management","Lists","","","","Create a list",""
"passed","Sat Aug 12 17:17:55 WAT 2023","Sat Aug 12 17:17:56 WAT 2023","451","Account","Senders","","","","Get the list of all your senders",""
"passed","Sat Aug 12 17:17:48 WAT 2023","Sat Aug 12 17:17:48 WAT 2023","501","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time",""
"passed","Sat Aug 12 17:17:53 WAT 2023","Sat Aug 12 17:17:53 WAT 2023","348","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Sat Aug 12 17:17:47 WAT 2023","Sat Aug 12 17:17:47 WAT 2023","439","Transactional","Templates","","","","Get the list of email templates",""
"passed","Sat Aug 12 17:17:31 WAT 2023","Sat Aug 12 17:17:34 WAT 2023","2637","Contact management","Folders","","","","Get all folders",""
"passed","Sat Aug 12 17:16:58 WAT 2023","Sat Aug 12 17:17:00 WAT 2023","1540","Sales CRM","Companies","","","","Create a company",""
"passed","Sat Aug 12 17:17:07 WAT 2023","Sat Aug 12 17:17:07 WAT 2023","559","Sales CRM","Deals","","","","Get a deal",""
"passed","Sat Aug 12 17:17:31 WAT 2023","Sat Aug 12 17:17:31 WAT 2023","463","Contact management","Folders","","","","Create a folder",""
"passed","Sat Aug 12 17:17:58 WAT 2023","Sat Aug 12 17:17:59 WAT 2023","1184","","","","","","Test Clean-up",""
"passed","Sat Aug 12 17:17:42 WAT 2023","Sat Aug 12 17:17:43 WAT 2023","731","Contact management","Contacts","","","","Get all the contacts",""
"passed","Sat Aug 12 17:17:39 WAT 2023","Sat Aug 12 17:17:40 WAT 2023","455","Contact management","Lists","","","","Get contacts in a list",""
"passed","Sat Aug 12 17:17:08 WAT 2023","Sat Aug 12 17:17:10 WAT 2023","1888","Sales CRM","Notes","","","","Create a note",""
"passed","Sat Aug 12 17:17:00 WAT 2023","Sat Aug 12 17:17:00 WAT 2023","734","Sales CRM","Companies","","","","Get all Companies",""
"passed","Sat Aug 12 17:17:17 WAT 2023","Sat Aug 12 17:17:19 WAT 2023","2134","Sales CRM","Files","","","","Get all files",""
"passed","Sat Aug 12 17:17:45 WAT 2023","Sat Aug 12 17:17:45 WAT 2023","465","Contact management","Attributes","","","","List all attributes",""
"passed","Sat Aug 12 17:17:44 WAT 2023","Sat Aug 12 17:17:45 WAT 2023","549","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Sat Aug 12 17:17:10 WAT 2023","Sat Aug 12 17:17:13 WAT 2023","3019","Sales CRM","Notes","","","","Get all notes",""
